Year,Quarter,Month,Day,Sum of Is_Close_Higher_Than_Open,Sum of Volume,Sum of Close
1965,Qtr 2,May,18,1,-0.29519114016318015,-0.722445525329817
1965,Qtr 2,May,19,1,-0.29519114016318015,-0.7231623852099401
1965,Qtr 2,May,20,1,-0.29519114016318015,-0.7231135650928339
1965,Qtr 2,May,21,1,-0.29519114016318015,-0.7229515536708695
1965,Qtr 2,May,24,1,-0.29519114016318015,-0.7239569319749929
1965,Qtr 2,May,25,1,-0.29519114016318015,-0.7249334706988672
1965,Qtr 2,May,26,1,-0.29519114016318015,-0.7257291147322308
1965,Qtr 2,May,27,1,-0.29519114016318015,-0.7275778735677852
1965,Qtr 2,May,28,1,-0.29519114016318015,-0.7297406717479911
1965,Qtr 2,May,31,1,-0.29519114016318015,-0.7280661428742375
1965,Qtr 2,June,1,1,-0.29519114016318015,-0.7284822792178566
1965,Qtr 2,June,2,1,-0.29519114016318015,-0.7255515658888926
1965,Qtr 2,June,3,1,-0.29519114016318015,-0.724213278509874
1965,Qtr 2,June,4,1,-0.29519114016318015,-0.7254106322720962
1965,Qtr 2,June,7,1,-0.29519114016318015,-0.7260775611175302
1965,Qtr 2,June,8,1,-0.29519114016318015,-0.7266435038815794
1965,Qtr 2,June,9,1,-0.29519114016318015,-0.7275390368389868
1965,Qtr 2,June,10,1,-0.29519114016318015,-0.7287563711380659
1965,Qtr 2,June,11,1,-0.29519114016318015,-0.7284500936794654
1965,Qtr 2,June,14,1,-0.29519114016318015,-0.7298760515536608
1965,Qtr 2,June,15,1,-0.29519114016318015,-0.7311211418139503
1965,Qtr 2,June,16,1,-0.29519114016318015,-0.7318302261587504
1965,Qtr 2,June,17,1,-0.29519114016318015,-0.7326159002311392
1965,Qtr 2,June,18,1,-0.29519114016318015,-0.7298849377846272
1965,Qtr 2,June,21,1,-0.29519114016318015,-0.7303965063985043
1965,Qtr 2,June,22,1,-0.29519114016318015,-0.72724163218402
1965,Qtr 2,June,23,1,-0.29519114016318015,-0.7286687007538588
1965,Qtr 2,June,24,1,-0.29519114016318015,-0.7287252964062879
1965,Qtr 2,June,25,1,-0.29519114016318015,-0.7280705724514185
1965,Qtr 2,June,28,1,-0.29519114016318015,-0.7307504932785673
1965,Qtr 2,June,29,1,-0.29519114016318015,-0.7312709481234108
1965,Qtr 2,June,30,1,-0.29519114016318015,-0.7321154259231527
1965,Qtr 3,July,1,1,-0.29519114016318015,-0.7316182838130667
1965,Qtr 3,July,2,1,-0.29519114016318015,-0.7314740177764305
1965,Qtr 3,July,5,1,-0.29519114016318015,-0.7333405356465852
1965,Qtr 3,July,6,1,-0.29519114016318015,-0.733572458529126
1965,Qtr 3,July,7,1,-0.29519114016318015,-0.7346222273731747
