Year,Quarter,Month,Day,Sum of Close_Pct_Change,Sum of Low,Sum of Volume,Sum of Quarter
1978,Qtr 2,May,11,0.018815440706265285,-1.858457088249742,-0.8855734204895405,6
1978,Qtr 2,May,12,0.01995719891789194,-1.8567997938468082,-0.8855734204895405,6
1978,Qtr 2,May,15,0.009645978041640912,-1.8561945274049356,-0.8855734204895405,6
1978,Qtr 2,May,16,-0.00014867897818837683,-1.8646818830820395,-0.8855734204895405,6
1978,Qtr 2,May,17,0.015413158480205968,-1.862008349897061,-0.8855734204895405,6
1978,Qtr 2,May,18,-0.01621596292735006,-1.866307907391552,-0.8855734204895405,6
1978,Qtr 2,May,19,-0.005760328107278223,-1.8669131807573431,-0.8855734204895405,6
1978,Qtr 2,May,22,0.012434623896761643,-1.865855609529052,-0.8855734204895405,6
1978,Qtr 2,May,23,-0.01571764844899759,-1.8655551979927114,-0.8855734204895405,6
1978,Qtr 2,May,24,-0.012525222629456878,-1.8620988157010883,-0.8855734204895405,6
1978,Qtr 2,May,25,-0.0019288375707003924,-1.862169154230914,-0.8855734204895405,6
1978,Qtr 2,May,26,-0.004544170552364446,-1.864129100281343,-0.8855734204895405,6
1978,Qtr 2,May,29,0.00009928282710025549,-0.24212056768173557,-0.29519114016318015,2
1978,Qtr 2,May,30,0.003857293007081708,-1.8640241398112347,-0.8855734204895405,6
1978,Qtr 2,May,31,0.011806024293007589,-1.8602461136739297,-0.8855734204895405,6
1978,Qtr 2,June,1,0.003298194530973353,-1.8594297386163778,-0.8855734204895405,6
1978,Qtr 2,June,2,0.014576633375109171,-1.8583521090180468,-0.8855734204895405,6
1978,Qtr 2,June,5,0.028611316849630253,-1.8554775678751205,-0.8855734204895405,6
1978,Qtr 2,June,6,0.009082393549261658,-1.8557455864147216,-0.8855734204895405,6
1978,Qtr 2,June,7,0.0007191264490358229,-1.8557421988315048,-0.8855734204895405,6
1978,Qtr 2,June,8,0.01143387289222586,-1.8539408574305276,-0.8855734204895405,6
1978,Qtr 2,June,9,0.0005144173131003127,-1.8544881045579704,-0.8855734204895405,6
1978,Qtr 2,June,12,-0.0022794409770861,-1.8534606498088513,-0.8855734204895405,6
1978,Qtr 2,June,13,-0.0033706438482060674,-1.855488720745191,-0.8855734204895405,6
1978,Qtr 2,June,14,0.0031682444212070004,-1.854551765191257,-0.8855734204895405,6
1978,Qtr 2,June,15,-0.013902271181414072,-1.8559532641168526,-0.8855734204895405,6
1978,Qtr 2,June,16,-0.014043134134016366,-1.857102456550238,-0.8855734204895405,6
1978,Qtr 2,June,19,-0.009534057753663228,-1.8588200271301725,-0.8855734204895405,6
1978,Qtr 2,June,20,-0.01756208385544622,-1.8598385177493633,-0.8855734204895405,6
1978,Qtr 2,June,21,-0.016455780560272304,-1.8599099828678187,-0.8855734204895405,6
1978,Qtr 2,June,22,0.004297297215321683,-1.859153911236239,-0.8855734204895405,6
1978,Qtr 2,June,23,-0.003108959701315084,-1.8596285619661996,-0.8855734204895405,6
1978,Qtr 2,June,26,-0.02311481934965187,-1.86061017713282,-0.8855734204895405,6
1978,Qtr 2,June,27,-0.0016796328563110086,-1.8614857090376904,-0.8855734204895405,6
