Year,Quarter,Month,Day,Sum of Open,Sum of Close,Sum of High,Sum of Low
1965,Qtr 2,June,4,-0.7255207392496746,-0.7254106322720962,-0.7261646921827273,-0.7244954778587508
1965,Qtr 2,June,7,-0.7261876704286483,-0.7260775611175302,-0.7268275658843619,-0.725166652304011
1965,Qtr 2,June,8,-0.7267536151728936,-0.7266435038815794,-0.7273900675327569,-0.7257361978009713
1965,Qtr 2,June,9,-0.727649151263711,-0.7275390368389868,-0.7282801553591819,-0.7266374316282603
1965,Qtr 2,June,10,-0.7288664898221618,-0.7287563711380659,-0.7294900878706966,-0.7278625153511709
1965,Qtr 2,June,11,-0.7285602112919168,-0.7284500936794654,-0.7291856726784317,-0.7275542881620497
1965,Qtr 2,June,14,-0.7299861741554438,-0.7298760515536608,-0.7306029602660273,-0.7289893235361077
1965,Qtr 2,June,15,-0.7312312687722211,-0.7311211418139503,-0.7318404799735014,-0.7302423399117974
1965,Qtr 2,June,16,-0.7319403555980603,-0.7318302261587504,-0.7325452528553866,-0.7309559382139587
1965,Qtr 2,June,17,-0.7327260324194702,-0.7326159002311392,-0.7333261497744633,-0.7317466138059666
1965,Qtr 2,June,18,-0.7299950604175026,-0.7298849377846272,-0.7306117924658259,-0.7289982663358986
1965,Qtr 2,June,21,-0.730506630821324,-0.7303965063985043,-0.7311202505765261,-0.7295130915424884
1965,Qtr 2,June,22,-0.7273517455681451,-0.72724163218402,-0.7279845590210254,-0.7263381337261202
1965,Qtr 2,June,23,-0.728778819131202,-0.7286687007538588,-0.7294029505508746,-0.7277742868663951
1965,Qtr 2,June,24,-0.7288354149816555,-0.7287252964062879,-0.7294592020833716,-0.727831242800875
1965,Qtr 2,June,25,-0.7281806887359503,-0.7280705724514185,-0.7288084590626063,-0.727172350941246
1965,Qtr 2,June,28,-0.7308606189399638,-0.7307504932785673,-0.7314720851014893,-0.7298693318662988
1965,Qtr 2,June,29,-0.7313810756058441,-0.7312709481234108,-0.731989375411988,-0.7303930998726795
1965,Qtr 2,June,30,-0.7322255563603576,-0.7321154259231527,-0.7328287185126738,-0.7312429535304673
1965,Qtr 3,July,1,-0.7317284125108042,-0.7316182838130667,-0.7323345991879402,-0.7307426466652943
1965,Qtr 3,July,2,-0.7315841459693909,-0.7314740177764305,-0.7321912103356212,-0.7305974622460387
1965,Qtr 3,July,5,-0.7334506703703673,-0.7333405356465852,-0.7340463791714387,-0.7324758621752756
1965,Qtr 3,July,6,-0.7336825940643908,-0.733572458529126,-0.7342768918875944,-0.7327092614548213
1965,Qtr 3,July,7,-0.7347323665815108,-0.7346222273731747,-0.7353202777964203,-0.733765713018402
1965,Qtr 3,July,8,-0.7346291720641326,-0.7345190332168658,-0.7352177110940684,-0.7336618619388021
1965,Qtr 3,July,9,-0.7352395075036227,-0.7351293665208405,-0.7358243333735012,-0.7342760805612586
1965,Qtr 3,July,12,-0.7366221903714346,-0.7365120445507541,-0.7371986042723127,-0.735667560576037
1965,Qtr 3,July,13,-0.7359252949405143,-0.735815151558216,-0.7365059486153116,-0.7349662312350215
1965,Qtr 3,July,14,-0.7352184160863552,-0.7351082751773702,-0.7358033702722434,-0.7342548549524843
1965,Qtr 3,July,15,-0.7361572186345379,-0.7360470744407568,-0.7367364613314673,-0.7351996305145672
1965,Qtr 3,July,16,-0.7346824354830864,-0.7345722964494552,-0.7352706504689197,-0.7337154642396033
1965,Qtr 3,July,19,-0.7347323665815108,-0.7346222273731747,-0.7353202777964203,-0.733765713018402
1965,Qtr 3,July,21,-0.7338257497953045,-0.733715613759149,-0.7344191766873647,-0.7328533279961841
1965,Qtr 3,July,22,-0.7348932814091622,-0.734783141637798,-0.7354802136500979,-0.7339276516465365
1965,Qtr 3,July,23,-0.7358054521368979,-0.7356953091739202,-0.7363868349116013,-0.7348456259465426
1965,Qtr 3,July,26,-0.7350852574280002,-0.734975116984927,-0.7356710217248202,-0.734120849088805
1965,Qtr 3,July,27,-0.7331188572918254,-0.7330087237290311,-0.7337165847780166,-0.732141937977485
1965,Qtr 3,July,28,-0.7315508631572046,-0.7314407350806981,-0.732158130009479,-0.730563967676119
1965,Qtr 3,July,29,-0.7294180079011688,-0.7293078872873546,-0.7300382506228301,-0.728417542395038
1965,Qtr 3,July,30,-0.7281096798695783,-0.7279995638335007,-0.7287378822001278,-0.7271008902898349
1965,Qtr 3,August,2,-0.7255140880359952,-0.7254039810816889,-0.7261580814337159,-0.7244887843275555
1965,Qtr 3,August,3,-0.7265017245214223,-0.7263916141114536,-0.7271397093341718,-0.7254827045267062
1965,Qtr 3,August,4,-0.7238805981395422,-0.7237704969006883,-0.7245345293666028,-0.722844901555757
1965,Qtr 3,August,5,-0.7218387595443158,-0.7217286654496937,-0.7225051129134066,-0.7207900720176162
1965,Qtr 3,August,6,-0.7227087611978062,-0.7225986640591172,-0.7233698216489693,-0.7216656089479118
1965,Qtr 3,August,9,-0.7221872072597758,-0.7220771119459629,-0.7228514407419072,-0.721140736688124
1965,Qtr 3,August,10,-0.7241369455713629,-0.7240268434355693,-0.7247893172313672,-0.7231028799660795
1965,Qtr 3,August,11,-0.7253476329161342,-0.7252375265442412,-0.7259926389938706,-0.7243212701577946
1965,Qtr 3,August,12,-0.7244332405673988,-0.7243231373948925,-0.72508380962727,-0.7234010601020027
1965,Qtr 3,August,13,-0.7226210905068464,-0.7225109936749101,-0.7232826843291473,-0.721577380463136
1965,Qtr 3,August,16,-0.7213238567089946,-0.7212137644159772,-0.7219933426450608,-0.7202718931773475
1965,Qtr 3,August,17,-0.7220540349521012,-0.7219439401042476,-0.7227190786282038,-0.7210067170882829
1965,Qtr 3,August,18,-0.7214714420325878,-0.721361349223181,-0.7221400300887454,-0.7204204174941199
1965,Qtr 3,August,19,-0.720184191879915,-0.720074103574495,-0.7208606113113157,-0.7191249773732054
1965,Qtr 3,August,20,-0.7204960107023695,-0.7203859213059199,-0.7211705330897485,-0.7194387801039528
1965,Qtr 3,August,23,-0.7199289552585943,-0.719818867846227,-0.7206069274990999,-0.7188681168407759
1965,Qtr 3,August,24,-0.7185507155218118,-0.7184406329317967,-0.7192370727001879,-0.7174811082258926
